cat_gral,name,mes,ano,categoria,tipo,visitantes,ap
PN,Aconquija,11,2003,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,11,2003,Residentes,Menores,,PN Aconquija
PN,Aconquija,12,2003,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,12,2003,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,12,2003,Residentes,Residentes Provinciales,7,PN Aconquija
PN,Aconquija,12,2003,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,12,2003,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,12,2003,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,12,2003,Residentes,Menores,,PN Aconquija
PN,Aconquija,1,2004,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,1,2004,Residentes,Nacionales Mayores,4,PN Aconquija
PN,Aconquija,1,2004,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,1,2004,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,1,2004,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,1,2004,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,1,2004,Residentes,Menores,,PN Aconquija
PN,Aconquija,2,2004,Extranjeros,Extranjeros,2,PN Aconquija
PN,Aconquija,2,2004,Residentes,Nacionales Mayores,3,PN Aconquija
PN,Aconquija,2,2004,Residentes,Residentes Provinciales,2,PN Aconquija
PN,Aconquija,2,2004,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,2,2004,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,2,2004,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,2,2004,Residentes,Menores,,PN Aconquija
PN,Aconquija,3,2004,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,3,2004,Residentes,Nacionales Mayores,3,PN Aconquija
PN,Aconquija,3,2004,Residentes,Residentes Provinciales,6,PN Aconquija
PN,Aconquija,3,2004,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,3,2004,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,3,2004,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,3,2004,Residentes,Menores,,PN Aconquija
PN,Aconquija,4,2004,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,4,2004,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,4,2004,Residentes,Residentes Provinciales,13,PN Aconquija
PN,Aconquija,4,2004,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,4,2004,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,4,2004,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,4,2004,Residentes,Menores,,PN Aconquija
PN,Aconquija,5,2004,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,5,2004,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,5,2004,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,5,2004,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,5,2004,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,5,2004,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,5,2004,Residentes,Menores,,PN Aconquija
PN,Aconquija,6,2004,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,6,2004,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,6,2004,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,6,2004,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,6,2004,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,6,2004,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,6,2004,Residentes,Menores,,PN Aconquija
PN,Aconquija,7,2004,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,7,2004,Residentes,Nacionales Mayores,30,PN Aconquija
PN,Aconquija,7,2004,Residentes,Residentes Provinciales,90,PN Aconquija
PN,Aconquija,7,2004,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,7,2004,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,7,2004,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,7,2004,Residentes,Menores,,PN Aconquija
PN,Aconquija,8,2004,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,8,2004,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,8,2004,Residentes,Residentes Provinciales,12,PN Aconquija
PN,Aconquija,8,2004,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,8,2004,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,8,2004,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,8,2004,Residentes,Menores,,PN Aconquija
PN,Aconquija,9,2004,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,9,2004,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,9,2004,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,9,2004,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,9,2004,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,9,2004,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,9,2004,Residentes,Menores,,PN Aconquija
PN,Aconquija,10,2004,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,10,2004,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,10,2004,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,10,2004,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,10,2004,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,10,2004,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,10,2004,Residentes,Menores,,PN Aconquija
PN,Aconquija,11,2004,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,11,2004,Residentes,Nacionales Mayores,5,PN Aconquija
PN,Aconquija,11,2004,Residentes,Residentes Provinciales,38,PN Aconquija
PN,Aconquija,11,2004,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,11,2004,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,11,2004,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,11,2004,Residentes,Menores,,PN Aconquija
PN,Aconquija,12,2004,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,12,2004,Residentes,Nacionales Mayores,13,PN Aconquija
PN,Aconquija,12,2004,Residentes,Residentes Provinciales,19,PN Aconquija
PN,Aconquija,12,2004,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,12,2004,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,12,2004,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,12,2004,Residentes,Menores,,PN Aconquija
PN,Aconquija,1,2005,Extranjeros,Extranjeros,1,PN Aconquija
PN,Aconquija,1,2005,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,1,2005,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,1,2005,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,1,2005,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,1,2005,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,1,2005,Residentes,Menores,,PN Aconquija
PN,Aconquija,2,2005,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,2,2005,Residentes,Nacionales Mayores,17,PN Aconquija
PN,Aconquija,2,2005,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,2,2005,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,2,2005,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,2,2005,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,2,2005,Residentes,Menores,,PN Aconquija
PN,Aconquija,3,2005,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,3,2005,Residentes,Nacionales Mayores,12,PN Aconquija
PN,Aconquija,3,2005,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,3,2005,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,3,2005,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,3,2005,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,3,2005,Residentes,Menores,,PN Aconquija
PN,Aconquija,4,2005,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,4,2005,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,4,2005,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,4,2005,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,4,2005,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,4,2005,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,4,2005,Residentes,Menores,,PN Aconquija
PN,Aconquija,5,2005,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,5,2005,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,5,2005,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,5,2005,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,5,2005,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,5,2005,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,5,2005,Residentes,Menores,,PN Aconquija
PN,Aconquija,6,2005,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,6,2005,Residentes,Nacionales Mayores,2,PN Aconquija
PN,Aconquija,6,2005,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,6,2005,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,6,2005,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,6,2005,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,6,2005,Residentes,Menores,,PN Aconquija
PN,Aconquija,7,2005,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,7,2005,Residentes,Nacionales Mayores,3,PN Aconquija
PN,Aconquija,7,2005,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,7,2005,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,7,2005,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,7,2005,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,7,2005,Residentes,Menores,1,PN Aconquija
PN,Aconquija,8,2005,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,8,2005,Residentes,Nacionales Mayores,4,PN Aconquija
PN,Aconquija,8,2005,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,8,2005,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,8,2005,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,8,2005,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,8,2005,Residentes,Menores,,PN Aconquija
PN,Aconquija,9,2005,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,9,2005,Residentes,Nacionales Mayores,39,PN Aconquija
PN,Aconquija,9,2005,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,9,2005,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,9,2005,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,9,2005,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,9,2005,Residentes,Menores,,PN Aconquija
PN,Aconquija,10,2005,Extranjeros,Extranjeros,4,PN Aconquija
PN,Aconquija,10,2005,Residentes,Nacionales Mayores,8,PN Aconquija
PN,Aconquija,10,2005,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,10,2005,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,10,2005,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,10,2005,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,10,2005,Residentes,Menores,7,PN Aconquija
PN,Aconquija,11,2005,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,11,2005,Residentes,Nacionales Mayores,53,PN Aconquija
PN,Aconquija,11,2005,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,11,2005,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,11,2005,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,11,2005,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,11,2005,Residentes,Menores,1,PN Aconquija
PN,Aconquija,12,2005,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,12,2005,Residentes,Nacionales Mayores,4,PN Aconquija
PN,Aconquija,12,2005,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,12,2005,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,12,2005,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,12,2005,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,12,2005,Residentes,Menores,,PN Aconquija
PN,Aconquija,1,2006,Extranjeros,Extranjeros,4,PN Aconquija
PN,Aconquija,1,2006,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,1,2006,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,1,2006,Residentes,Residentes Locales,3,PN Aconquija
PN,Aconquija,1,2006,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,1,2006,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,1,2006,Residentes,Menores,,PN Aconquija
PN,Aconquija,2,2006,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,2,2006,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,2,2006,Residentes,Residentes Provinciales,15,PN Aconquija
PN,Aconquija,2,2006,Residentes,Residentes Locales,5,PN Aconquija
PN,Aconquija,2,2006,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,2,2006,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,2,2006,Residentes,Menores,,PN Aconquija
PN,Aconquija,3,2006,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,3,2006,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,3,2006,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,3,2006,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,3,2006,Residentes,Estudiantes,,PN Aconquija
