Title,Guests,Bedrooms,Beds,Baths,Stars,Description,N_Reviews,Price,Discount,Service Fee,Cleaning Fee,Total,Cleanliness_Score,Accuracy_Score,Communication_Score,Location_Score,Check_In_Score,Value_Score,City,Reviews_Content,Link
Excelente Depto centrico Resist.,5.0,2.0,4.0,1.0,,"Dpto de 2 habitaciones en complejo de 4 torres con seguridad 24 hs. 
Excelente estado con wifi, cocina con desayunador, baño con mampara, balcon,  living comedor con iluminación con dicro led  y aire acondicionado y futon que se convierte en otra cama. 
Dos habitaciones, una matrimonial con cama queen y aire acondicionado y otra con 2 simples
Plaza interna con espacios verdes para disfrutar al aire libre.",0,685.0,137.0,685.0,,625.0,,,,,,,"Resistencia, Chaco, Argentina",[],https://www.airbnb.com/rooms/965889165466822078?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-14&check_out=2023-12-12&source_impression_id=p3_1695675273_57UujEjt6e6bimP5&previous_page_section_name=1000&federated_search_id=8c17cd0b-fa96-4aef-8763-61efa931b167
Depto un ambiente amueblado,4.0,1.0,1.0,1.0,,"Monoambiente amueblado con baño privado,  ideal para familia (2 adultos y 2 niños).",0,1130.0,226.0,1130.0,,1022.0,,,,,,,"Corrientes, Argentina",[],https://www.airbnb.com/rooms/876704587506819974?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-01&check_out=2023-10-29&source_impression_id=p3_1695675273_vGoB93i%2F%2FH2cmIGM&previous_page_section_name=1000&federated_search_id=8c17cd0b-fa96-4aef-8763-61efa931b167
Departamento en Costanera,5.0,2.0,4.0,2.0,,"Departamento a una cuadra de la Costanera Sur, a metros de la playa, bares, comercios. El complejo cuenta con piscina y quincho con parrilla. Departamento equipado con cocina y vajilla completa.",0,3041.0,608.0,3041.0,,2751.0,,,,,,,"Corrientes, Argentina",[],https://www.airbnb.com/rooms/887714776025450701?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-05&check_out=2023-12-03&source_impression_id=p3_1695675273_2IjBcq1aGR%2F1F9Lv&previous_page_section_name=1000&federated_search_id=8c17cd0b-fa96-4aef-8763-61efa931b167
Dpto bonito y acogedor,2.0,1.0,1.0,1.0,,"Perfecta ubicación, seguridad 24 hs, muy tranquilo, buena iluminación.",0,791.0,158.0,791.0,,721.0,,,,,,,"Resistencia, Chaco, Argentina",[],https://www.airbnb.com/rooms/983086033519556867?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-01&check_out=2023-10-29&source_impression_id=p3_1695675273_b9%2FTI1pMM0PLse1s&previous_page_section_name=1000&federated_search_id=8c17cd0b-fa96-4aef-8763-61efa931b167
Edificio Altos de San Lorenzo,2.0,1.0,1.0,1.0,,Disfrutá de la sencillez de este alojamiento tranquilo y céntrico. En Edificio Altos de San Lorenzo ubicado estratégicamente en el micro centro de la Ciudad. A tan solo 3 cuadras de la Peatonal Junin icónica de la Ciudad.,0,1055.0,106.0,1055.0,,1073.0,,,,,,,"CFV, Corrientes, Argentina",[],https://www.airbnb.com/rooms/935590802033237104?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-01&check_out=2023-10-29&source_impression_id=p3_1695675273_P%2FscPzPn86BD%2F2z7&previous_page_section_name=1000&federated_search_id=8c17cd0b-fa96-4aef-8763-61efa931b167
Apartamento moderno y funcional,4.0,2.0,3.0,15.0,,"En Haus Ikaro vas a poder disfrutar de un ambiente familiar con detalles modernos en equipamientos con total confort y seguridad. Destacan los espacios de esparcimiento y disfrute cómo amplios jardines,  piscina con áreas de recreación, tumbonas, sombrillas,  sofás de obra, quincho, parrilla, barra y comedor completo.  La ubicación del alojamiento en la zona residencial más requerida de Santa Ana sobre Ruta asfaltada e iluminada. Cercanía a restaurantes,  el pueblo y el Corsodromo (Carnaval)


Departamento independiente con garage y calle lateral independiente. Funcional, equipado y moderno.  Con acceso a áreasde esparcimiento social amplias como jardines,  piscina, quincho y asadores. Ubicada en acceso a la requerida e histórica Santa Ana. A escasos metros de zona gastronómica.  Muy conveniente para quienes quieren ir a disfrutar de los carnavales estandoel corsodromo a 7 km. Punto intermedio entre Corrientes y las playas de Paso Patria.  Fácil acceso a Ruta Nacional 12.


Los huéspedes cuentan con cocina y lavadero,  balcón pequeño con vista a calle interna, amplia terraza living/comedor como partes privativas y tienen acceso a piscina, patio, jardín, asador, barra, comedor, baño social en áreas comunes.


Destaca el área natural,  los árboles,  aves y otros animales pequeños de la zona.",0,1206.0,241.0,1206.0,,1109.0,,,,,,,,[],https://www.airbnb.com/rooms/813678016498321297?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-01&check_out=2023-10-29&source_impression_id=p3_1695675273_PdbBgTQqGGprocTV&previous_page_section_name=1000&federated_search_id=8c17cd0b-fa96-4aef-8763-61efa931b167
Departamento 4 habitaciones,8.0,4.0,6.0,1.0,,Departamento amplio para disfrutar en grupo,0,1582.0,316.0,1582.0,,1431.0,,,,,,,"Corrientes, Argentina",[],https://www.airbnb.com/rooms/980747997694925649?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-16&check_out=2023-11-13&source_impression_id=p3_1695675273_%2BTd9PAGHuymaiINd&previous_page_section_name=1000&federated_search_id=8c17cd0b-fa96-4aef-8763-61efa931b167
Departamento Súper Céntrico,4.0,2.0,3.0,1.0,5.0,"Disfruta de tener todo cerca a tu alrededor, la ubicación del departamento es ideal , cuenta con estacionamiento gratuito en el predio. Es un departamento cómodo para 4 personas cuenta dos habitaciones una con una cama queen y la otra con dos camas twin, además un cómodo baño, cocina completa,   lavadero y balcon. Las habitaciones y el living poseen aire acondicionado frío-calor y el edificio  cuenta con accesos vía ascensor.


La propiedad es un departamento en un edificio y cuenta con dos dormitorios y un baño, cocina, comedor , lavadero y balcón


El edifico cuenta con estacionamiento para un vehículo y ascensores y escalera para subir al departamento",8,942.0,,942.0,,1065.0,5.0,5.0,5.0,5.0,5.0,5.0,,"[{'August 2023': 'Nissi es una excelente anfitriona. Estamos muy contentos de habernos alojado en su departamento. Muy recomendable!'}, {'July 2023': 'Excelente atención, recomendable.'}, {'July 2023': 'El dpto esta en excelentes condiciones, muy bien ubicado, a pocos minutos del centro. Y los anfitrios Nissi y su mama Monica super atentos. Recomendable'}, {'July 2023': 'Diese Unterkunft war wirklich super.\nEs war alles blitzsauber, gemütlich und geräumig. Wir waren zu dritt in der Wohnung und hatten ausreichend Platz. Die Betten waren bequem, das Bad sehr sauber und mit warmen Wasser und die Küche sehr gut ausgestattet.\nMan hat alles was man braucht in unmittelbarer Nähe. 15 Minuten zu Fuß zur Plaza.\nNissis Mutter ist ein wahrer ngel. Ich wurde sehr krank und sie hat sich die Zeit genommen und mich zum Arzt begleitet. Morgens um 7 Uhr. Sie hat mir sehr geholfen und für mich übersetzt, da mein Spanisch nicht so\ngut ist. Nissi und ihre Mutter waren\nimmer erreichbar und haben uns gute\nTipps gegeben und immer sofort geantwortet. Wo gibt es solch gute Menschen?\nDesweiteren durften wir auch am frühen Morgen einchecken. Wir empfehlen diesen Ort zu 100%. Wir haben uns super wohl gefühlt und danken Nissi und ihrer Mutter für alles!♡♡♡'}, {'July 2023': 'La atención muy buena, todo exelente..super limpio ,.silencioso ...super recomendable !!!'}, {'June 2023': 'Excelente el Dpto y la atención de los anfitriones . Recomendado y volveremos 😍'}, {'February 2023': 'Gran cordialidad desde el inicio, excelente recibimiento y muy atenta a los detalles en cada rincón del lugar. nos sentimos como en casa.'}, {'February 2023': 'excelente todo nada malo q decir'}]",https://www.airbnb.com/rooms/820124403944301893?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-11-19&source_impression_id=p3_1695675273_YF7MYJtHtNpJiE4c&previous_page_section_name=1000&federated_search_id=8c17cd0b-fa96-4aef-8763-61efa931b167
Departamento KSK,6.0,3.0,5.0,2.0,5.0,"Departamento privado en edificio,  2do. Piso, accesible por escaleras (No hay ascensor), 3 dormitorios, 2 baños, living-comedor y cocina separada. Capacidad para 6 adultos. 
Estacionamiento en la calle (pago).
Muy iluminado, hay un balcón con vista a la calle.
Wifi gratuito y accesible las 24 hs.
Aire acondicionado Frío-Calor en todos los ambientes.
Agua caliente (termotanque)


Living-comedor:
Mesa grande con 8 sillas.
Sofá 3 cuerpos y 2 sillones individuales
1 TV LCD Smart 45¨Cable con canales HD
Cocina:
Cocina con 4 hornallas y 2 hornos a gas, con encendido electrico
Heladera con freezer
Alacena y Bajo mesada
Microondas
Licuadora
Vajilla completa para 6 personas
Termotanque
Lavarropas
Dormitorio 1:
1 Cama Queen 1,60x2 m.
Dormitorio 2:
2 Camas Twin 1x2 m. 
Dormitorio 3:
1 Cama Marinera 1x2 m. y cama extra 0,90x1,90 m.
1 baño con ducha
Baño Principal:
Receptáculo de ducha con mamparas de vidrio
Inodoro y Bidet
Toallero eléctrico",3,2180.0,436.0,2180.0,,1973.0,4.7,5.0,5.0,5.0,5.0,4.7,,[],https://www.airbnb.com/rooms/40326844?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-17&check_out=2023-11-14&source_impression_id=p3_1695675273_MhEo%2FjYMsQ25tKS0&previous_page_section_name=1000&federated_search_id=8c17cd0b-fa96-4aef-8763-61efa931b167
Depto. Corrientes Capital,4.0,2.0,4.0,1.0,,"Disfrutá de la sencillez de este alojamiento tranquilo y céntrico. Rápido acceso primer piso.

The space
la ubicación es inigualable con terraza propia para los huéspedes, súper seguro y tranquilo a pesar de ser el casco céntrico  centrico e histórico


el acceso a los deptos. es por escalera en un primero y segundo piso. el tercer piso es la terraza que se comparte entre los huéspedes de los 5 departamentos amueblados disponibles, con un lugar tranquilo para tomar sol y poder compartir algún aperitivo o algún asado


es un pequeño edificio en pleno centro comercial y turístico con pocos deptos Amueblados  en la mejor ubicación de la ciudad con 2 supermercados a menos de una cuadra los deptos estan en un primer y segundo piso con acceso por escaleras",0,1055.0,211.0,1055.0,,954.0,,,,,,,,[],https://www.airbnb.com/rooms/963998978988328286?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-01&check_out=2023-10-29&source_impression_id=p3_1695675273_JKRhcWNR1w8Bvgjw&previous_page_section_name=1000&federated_search_id=8c17cd0b-fa96-4aef-8763-61efa931b167
Torres Sarmiento- Temporarios,4.0,2.0,3.0,1.0,,Disfrutá de la sencillez de este alojamiento tranquilo y céntrico. Todas las comodidades como en tu propia casa,0,844.0,169.0,844.0,,763.0,,,,,,,"Resistencia, Chaco, Argentina",[],https://www.airbnb.com/rooms/942191905761536630?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-01&check_out=2023-10-29&source_impression_id=p3_1695675273_Vz5n%2FG1VT5QOD84A&previous_page_section_name=1000&federated_search_id=8c17cd0b-fa96-4aef-8763-61efa931b167
Hermoso Quincho de fin de semana,2.0,1.0,1.0,1.0,,"En este alojamiento se respira tranquilidad
Hermoso Lugar en la costa del rio Parana. Ideal para los que disfrutan de la pesca.
Dimensiones: una Hectarea. 
Lugar tranquilo, ideal para pasar dias alejados de la ciudad y relajarse. Tambien para reuniones familiares, eventos coorporativos, cumple años, o simplemente para disfrutar de un lugar rodeado de naturaleza.
IMPORTANTE: la casa tiene capacidad para 12 personas. Pero posee solo una habitacion con cama de 2 plazas. se pueden agregar colchones.


Hermosa casa en la costa del Rio Parana. Es un lugar para compartir con familia, amigos, eventos o en pareja.
La casa tiene capacidad para 12 personas con vajilla, mesa, sillas, pileta, una hectarea de pasto y arboles hermosos. Ademas se encuentra en la costa Chaqueña del Rio paranà para los que les gusta pescar.
Muy importante la casa cuenta con solo una habitacion en planta alta con cama matrimonial (desde la cual se.puede apreciar la ciudad de Corrientes y el puente interprovincial), Se pueden agregar hasta 3 o 4 colchones mas. Pero no posee habitaciones para 12 personas. Posee un solo baño totalmente equipado en planta baja.


El lugar es ideal para reuniones, eventos, asados en familia o con amigos, la capacidad es de 12 personas sentadas con vajilla incluida en caso de necesitar comer en el lugar. Tenemos sillas extras las cuales se pueden sumar a la mesa principal. Si es para eventos el lugar posee una Hectarea, asi que la capacidad de gente es mucho mayor.",0,1130.0,226.0,1130.0,,1022.0,,,,,,,,[],https://www.airbnb.com/rooms/869039431368309518?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-01&check_out=2023-10-29&source_impression_id=p3_1695675273_JKACJzm0%2BANDJIyo&previous_page_section_name=1000&federated_search_id=8c17cd0b-fa96-4aef-8763-61efa931b167
